local_entity_key,geo_entity_id,property_key,geo_property_id,value_type,value,source_file,json_pointer
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,,evidence_strength_key,,TEXT,mixed-conditional,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,,local_key,,TEXT,claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,content/landing-cards.json,
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,,caveat,,TEXT,"Explicit foundational skills matter, but reading is not phonics only.",content/landing-cards.json,
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,,claim_text,,TEXT,"Reading First changed instruction, but not broad comprehension scores.",content/landing-cards.json,
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,,evidence_strength_key,,TEXT,strong-causal,content/landing-cards.json,
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,,local_key,,TEXT,claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,content/landing-cards.json,
continuum:bilingual-dual-language-vs-english-immersion,,confidence,,TEXT,low,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,explanation,,TEXT,The conclusion depends on time horizon and whether biliteracy itself is treated as an outcome.,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,left_pole,,TEXT,Maintain bilingual development and biliteracy,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,local_key,,TEXT,continuum:bilingual-dual-language-vs-english-immersion,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,position,,FLOAT64,55,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,right_pole,,TEXT,concentrate on rapid English acquisition,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,title,,TEXT,Bilingual dual-language vs English immersion continuum,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,uncertainty_high,,FLOAT64,70,content/dichotomies.json,
continuum:bilingual-dual-language-vs-english-immersion,,uncertainty_low,,FLOAT64,38,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,confidence,,TEXT,low,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,explanation,,TEXT,"Materials quality matters, but procurement without use, training, and buy-in has weak effects.",content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,left_pole,,TEXT,Adopt vetted materials and aligned PD,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,local_key,,TEXT,continuum:central-curriculum-hqim-vs-teacher-created-materials,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,position,,FLOAT64,50,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,right_pole,,TEXT,let teachers design locally responsive curricula,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,title,,TEXT,Central curriculum / HQIM vs teacher-created materials continuum,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,uncertainty_high,,FLOAT64,65,content/dichotomies.json,
continuum:central-curriculum-hqim-vs-teacher-created-materials,,uncertainty_low,,FLOAT64,35,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,confidence,,TEXT,low,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,explanation,,TEXT,"Effects depend on school quality, accountability rules, admissions, transportation, and outcome definition.",content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,left_pole,,TEXT,Charters/vouchers/magnets,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,local_key,,TEXT,continuum:choice-markets-vs-common-public-system,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,position,,FLOAT64,50,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,right_pole,,TEXT,neighborhood public schools,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,title,,TEXT,Choice/markets vs common public system continuum,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,uncertainty_high,,FLOAT64,74,content/dichotomies.json,
continuum:choice-markets-vs-common-public-system,,uncertainty_low,,FLOAT64,25,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,explanation,,TEXT,"Strong career pathways avoid dead-end tracking by preserving rigor, credits, and portable credentials.",content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,left_pole,,TEXT,Academic college-prep sequence,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,local_key,,TEXT,continuum:college-for-all-vs-cte-career-pathways,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,position,,FLOAT64,58,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,right_pole,,TEXT,career-themed applied learning,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,title,,TEXT,College-for-all vs CTE/career pathways continuum,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,uncertainty_high,,FLOAT64,72,content/dichotomies.json,
continuum:college-for-all-vs-cte-career-pathways,,uncertainty_low,,FLOAT64,42,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,explanation,,TEXT,Continuous improvement is strong for targeted problems; structural redesign may still be needed for systemic failures.,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,left_pole,,TEXT,"Rapid cycles, local testing, network learning",content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,local_key,,TEXT,continuum:data-driven-continuous-improvement-vs-big-bang-reform,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,position,,FLOAT64,64,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,right_pole,,TEXT,sweeping top-down redesign,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,title,,TEXT,Data-driven continuous improvement vs big-bang reform continuum,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,uncertainty_high,,FLOAT64,78,content/dichotomies.json,
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,uncertainty_low,,FLOAT64,48,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,explanation,,TEXT,Novices usually need explicit modeling and practice; inquiry works best when content-rich and scaffolded.,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,left_pole,,TEXT,Explicit modeling and practice,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,local_key,,TEXT,continuum:direct-instruction-vs-inquiry-project-based-learning,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,position,,FLOAT64,68,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,right_pole,,TEXT,student exploration and authentic projects,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,title,,TEXT,Direct instruction vs inquiry/project-based learning continuum,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,uncertainty_high,,FLOAT64,80,content/dichotomies.json,
continuum:direct-instruction-vs-inquiry-project-based-learning,,uncertainty_low,,FLOAT64,54,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,explanation,,TEXT,"Reducing exclusion matters, but safety and instructional time cannot be waved away.",content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,left_pole,,TEXT,Clear consequences and order,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,local_key,,TEXT,continuum:discipline-order-vs-restorative-relational-climate,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,position,,FLOAT64,55,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,right_pole,,TEXT,"repair, belonging, and reduced exclusion",content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,title,,TEXT,Discipline/order vs restorative/relational climate continuum,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,uncertainty_high,,FLOAT64,70,content/dichotomies.json,
continuum:discipline-order-vs-restorative-relational-climate,,uncertainty_low,,FLOAT64,38,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,explanation,,TEXT,"The evidence favors intentional instruction embedded in development, not worksheets or purely unstructured play.",content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,left_pole,,TEXT,Intentional literacy/math instruction,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,local_key,,TEXT,continuum:early-academics-vs-play-based-pre-k,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,position,,FLOAT64,55,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,right_pole,,TEXT,developmental play and social interaction,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,title,,TEXT,Early academics vs play-based pre-K continuum,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,uncertainty_high,,FLOAT64,70,content/dichotomies.json,
continuum:early-academics-vs-play-based-pre-k,,uncertainty_low,,FLOAT64,38,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,explanation,,TEXT,Human high-dosage tutoring has much stronger causal evidence; AI may scale practice and feedback but is not equivalent yet.,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,left_pole,,TEXT,Adult relationship and diagnosis,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,local_key,,TEXT,continuum:human-tutoring-vs-ai-tutoring,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,position,,FLOAT64,25,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,right_pole,,TEXT,scalable AI feedback and practice,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,title,,TEXT,Human tutoring vs AI tutoring continuum,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,uncertainty_high,,FLOAT64,45,content/dichotomies.json,
continuum:human-tutoring-vs-ai-tutoring,,uncertainty_low,,FLOAT64,12,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,explanation,,TEXT,"Test scores are not the only outcome; civic contact, peer composition, and access to resources also matter.",content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,left_pole,,TEXT,"Diverse, intentionally integrated schools",content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,local_key,,TEXT,continuum:integration-desegregation-vs-neighborhood-local-control,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,position,,FLOAT64,58,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,right_pole,,TEXT,local assignment and community control,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,title,,TEXT,Integration/desegregation vs neighborhood/local control continuum,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,uncertainty_high,,FLOAT64,72,content/dichotomies.json,
continuum:integration-desegregation-vs-neighborhood-local-control,,uncertainty_low,,FLOAT64,40,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,explanation,,TEXT,Comprehension and reasoning depend heavily on domain knowledge; generic strategies alone are too thin.,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,left_pole,,TEXT,Build domain knowledge and vocabulary,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,local_key,,TEXT,continuum:knowledge-rich-curriculum-vs-generic-skills,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,position,,FLOAT64,72,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,right_pole,,TEXT,teach transferable strategies like critical thinking,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,title,,TEXT,Knowledge-rich curriculum vs generic skills continuum,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,uncertainty_high,,FLOAT64,84,content/dichotomies.json,
continuum:knowledge-rich-curriculum-vs-generic-skills,,uncertainty_low,,FLOAT64,58,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,explanation,,TEXT,"Sustained targeted dollars can improve outcomes, but spending category and implementation are decisive.",content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,left_pole,,TEXT,Increase targeted spending and staffing,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,local_key,,TEXT,continuum:more-money-resources-vs-money-does-not-matter,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,position,,FLOAT64,76,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,right_pole,,TEXT,"focus on incentives, efficiency, and governance",content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,title,,TEXT,More money/resources vs 'money does not matter' continuum,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,uncertainty_high,,FLOAT64,88,content/dichotomies.json,
continuum:more-money-resources-vs-money-does-not-matter,,uncertainty_low,,FLOAT64,62,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,explanation,,TEXT,Backfilling forever can trap students; access to grade-level work needs tutoring and scaffolding.,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,left_pole,,TEXT,Backfill missing skills before grade-level work,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,local_key,,TEXT,continuum:remediation-readiness-vs-grade-level-acceleration,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,position,,FLOAT64,63,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,right_pole,,TEXT,provide grade-level access with just-in-time support,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,title,,TEXT,Remediation/readiness vs grade-level acceleration continuum,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,uncertainty_high,,FLOAT64,76,content/dichotomies.json,
continuum:remediation-readiness-vs-grade-level-acceleration,,uncertainty_low,,FLOAT64,48,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,confidence,,TEXT,low,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,explanation,,TEXT,Technology effects depend on what activity the tool replaces and whether adult-guided instructional design is present.,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,left_pole,,TEXT,Passive/replacement screen time,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,local_key,,TEXT,continuum:screens-harm-development-vs-technology-enables-learning,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,position,,FLOAT64,52,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,right_pole,,TEXT,"active, teacher-mediated technology and AI",content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,title,,TEXT,Screens harm development vs technology enables learning continuum,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,uncertainty_high,,FLOAT64,70,content/dichotomies.json,
continuum:screens-harm-development-vs-technology-enables-learning,,uncertainty_low,,FLOAT64,30,content/dichotomies.json,
continuum:seat-time-vs-mastery,,confidence,,TEXT,low,content/dichotomies.json,
continuum:seat-time-vs-mastery,,explanation,,TEXT,Mastery is philosophically strong but hard to validate because credits and grades can change meaning.,content/dichotomies.json,
continuum:seat-time-vs-mastery,,left_pole,,TEXT,Credit for time and course completion,content/dichotomies.json,
continuum:seat-time-vs-mastery,,local_key,,TEXT,continuum:seat-time-vs-mastery,content/dichotomies.json,
continuum:seat-time-vs-mastery,,position,,FLOAT64,55,content/dichotomies.json,
continuum:seat-time-vs-mastery,,right_pole,,TEXT,progression after demonstrated mastery,content/dichotomies.json,
continuum:seat-time-vs-mastery,,title,,TEXT,Seat time vs mastery continuum,content/dichotomies.json,
continuum:seat-time-vs-mastery,,uncertainty_high,,FLOAT64,72,content/dichotomies.json,
continuum:seat-time-vs-mastery,,uncertainty_low,,FLOAT64,35,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,explanation,,TEXT,"SEL is strongest when it improves engagement and learning conditions, not when it substitutes for academics.",content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,left_pole,,TEXT,Teach social-emotional skills and provide supports,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,local_key,,TEXT,continuum:sel-whole-child-vs-academics-first,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,position,,FLOAT64,58,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,right_pole,,TEXT,focus tightly on academic instruction,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,title,,TEXT,SEL/whole-child vs academics-first continuum,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,uncertainty_high,,FLOAT64,72,content/dichotomies.json,
continuum:sel-whole-child-vs-academics-first,,uncertainty_low,,FLOAT64,42,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,explanation,,TEXT,"NYC small schools are a serious positive case, but smallness itself is not the whole mechanism.",content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,left_pole,,TEXT,Smaller relationships and coherence,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,local_key,,TEXT,continuum:small-schools-personalization-vs-comprehensive-breadth,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,position,,FLOAT64,60,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,right_pole,,TEXT,"large schools with more courses, activities, and economies of scale",content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,title,,TEXT,Small schools/personalization vs comprehensive breadth continuum,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,uncertainty_high,,FLOAT64,74,content/dichotomies.json,
continuum:small-schools-personalization-vs-comprehensive-breadth,,uncertainty_low,,FLOAT64,44,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,explanation,,TEXT,"Transparent standards and measurement help, but high-stakes systems narrow behavior and invite gaming.",content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,left_pole,,TEXT,"Common standards, tests, and consequences",content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,local_key,,TEXT,continuum:standardization-accountability-vs-professional-autonomy,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,position,,FLOAT64,54,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,right_pole,,TEXT,local discretion and teacher judgment,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,title,,TEXT,Standardization/accountability vs professional autonomy continuum,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,uncertainty_high,,FLOAT64,68,content/dichotomies.json,
continuum:standardization-accountability-vs-professional-autonomy,,uncertainty_low,,FLOAT64,38,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,confidence,,TEXT,medium,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,explanation,,TEXT,"Measurement can help, but coaching has more consistent developmental evidence than simple merit pay.",content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,left_pole,,TEXT,"Value-added, observations, incentives, consequences",content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,local_key,,TEXT,continuum:teacher-incentives-evaluation-vs-trust-professionalism,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,position,,FLOAT64,65,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,right_pole,,TEXT,"autonomy, collaboration, coaching",content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,title,,TEXT,Teacher incentives/evaluation vs trust/professionalism continuum,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,uncertainty_high,,FLOAT64,78,content/dichotomies.json,
continuum:teacher-incentives-evaluation-vs-trust-professionalism,,uncertainty_low,,FLOAT64,50,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,confidence,,TEXT,low,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,explanation,,TEXT,"Detracking without support can fail, while tracking can institutionalize low expectations.",content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,left_pole,,TEXT,Sort students by readiness,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,local_key,,TEXT,continuum:tracking-acceleration-vs-detracking-inclusion,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,position,,FLOAT64,50,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,right_pole,,TEXT,keep access to rigorous shared courses,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,title,,TEXT,Tracking/acceleration vs detracking/inclusion continuum,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,uncertainty_high,,FLOAT64,70,content/dichotomies.json,
continuum:tracking-acceleration-vs-detracking-inclusion,,uncertainty_low,,FLOAT64,30,content/dichotomies.json,
