local_relation_key,geo_relation_id,relation_key,from_entity_key,to_entity_key,position,verified,source_file,json_pointer
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys:dichotomy:more-money-resources-vs-money-does-not-matter,,RELATED_DICHOTOMY,claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,dichotomy:more-money-resources-vs-money-does-not-matter,,true,content/landing-cards.json,$[?dichotomySlug=='more-money-resources-vs-money-does-not-matter'].dichotomySlug
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys:source:src-041,,CITES_SOURCE,claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,source:src-041,,true,content/landing-cards.json,$[?dichotomySlug=='more-money-resources-vs-money-does-not-matter'].sourceIds
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys:source:src-056,,CITES_SOURCE,claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,source:src-056,,true,content/landing-cards.json,$[?dichotomySlug=='more-money-resources-vs-money-does-not-matter'].sourceIds
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys:strength:promising-causal-quasi,,HAS_EVIDENCE_STRENGTH,claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,evidence_strength:promising-causal-quasi,,true,content/landing-cards.json,$[?dichotomySlug=='more-money-resources-vs-money-does-not-matter'].evidenceStrength
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different:dichotomy:small-schools-personalization-vs-comprehensive-breadth,,RELATED_DICHOTOMY,claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,dichotomy:small-schools-personalization-vs-comprehensive-breadth,,true,content/landing-cards.json,$[?dichotomySlug=='small-schools-personalization-vs-comprehensive-breadth'].dichotomySlug
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different:source:src-029,,CITES_SOURCE,claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,source:src-029,,true,content/landing-cards.json,$[?dichotomySlug=='small-schools-personalization-vs-comprehensive-breadth'].sourceIds
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different:source:src-030,,CITES_SOURCE,claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,source:src-030,,true,content/landing-cards.json,$[?dichotomySlug=='small-schools-personalization-vs-comprehensive-breadth'].sourceIds
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different:strength:promising-causal-quasi,,HAS_EVIDENCE_STRENGTH,claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,evidence_strength:promising-causal-quasi,,true,content/landing-cards.json,$[?dichotomySlug=='small-schools-personalization-vs-comprehensive-breadth'].evidenceStrength
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe:dichotomy:teacher-incentives-evaluation-vs-trust-professionalism,,RELATED_DICHOTOMY,claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,dichotomy:teacher-incentives-evaluation-vs-trust-professionalism,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].dichotomySlug
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe:source:src-023,,CITES_SOURCE,claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,source:src-023,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].sourceIds
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe:source:src-025,,CITES_SOURCE,claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,source:src-025,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].sourceIds
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,evidence_strength:mixed-conditional,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].evidenceStrength
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains:dichotomy:teacher-incentives-evaluation-vs-trust-professionalism,,RELATED_DICHOTOMY,claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,dichotomy:teacher-incentives-evaluation-vs-trust-professionalism,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].dichotomySlug
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains:source:src-023,,CITES_SOURCE,claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,source:src-023,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].sourceIds
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains:source:src-025,,CITES_SOURCE,claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,source:src-025,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].sourceIds
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,evidence_strength:mixed-conditional,,true,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism'].evidenceStrength
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores:dichotomy:whole-language-balanced-literacy-vs-phonics-science-of-reading,,RELATED_DICHOTOMY,claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,dichotomy:whole-language-balanced-literacy-vs-phonics-science-of-reading,,true,content/landing-cards.json,$[?dichotomySlug=='whole-language-balanced-literacy-vs-phonics-science-of-reading'].dichotomySlug
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores:source:src-014,,CITES_SOURCE,claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,source:src-014,,true,content/landing-cards.json,$[?dichotomySlug=='whole-language-balanced-literacy-vs-phonics-science-of-reading'].sourceIds
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores:source:src-015,,CITES_SOURCE,claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,source:src-015,,true,content/landing-cards.json,$[?dichotomySlug=='whole-language-balanced-literacy-vs-phonics-science-of-reading'].sourceIds
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores:strength:strong-causal,,HAS_EVIDENCE_STRENGTH,claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,evidence_strength:strong-causal,,true,content/landing-cards.json,$[?dichotomySlug=='whole-language-balanced-literacy-vs-phonics-science-of-reading'].evidenceStrength
dichotomy:bilingual-dual-language-vs-english-immersion:continuum,,HAS_CONTINUUM_POSITION,dichotomy:bilingual-dual-language-vs-english-immersion,continuum:bilingual-dual-language-vs-english-immersion,,true,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].continuum
dichotomy:bilingual-dual-language-vs-english-immersion:initiative:a-nation-at-risk-modern-standards-movement,,KEY_INITIATIVE,dichotomy:bilingual-dual-language-vs-english-immersion,initiative:a-nation-at-risk-modern-standards-movement,,true,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].keyInitiativeSlugs
dichotomy:bilingual-dual-language-vs-english-immersion:source:src-002,,CITES_SOURCE,dichotomy:bilingual-dual-language-vs-english-immersion,source:src-002,,true,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].sourceIds
dichotomy:bilingual-dual-language-vs-english-immersion:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:bilingual-dual-language-vs-english-immersion,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].evidenceStrength
dichotomy:bilingual-dual-language-vs-english-immersion:topic:language,,HAS_TOPIC,dichotomy:bilingual-dual-language-vs-english-immersion,topic:language,,true,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].topic
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:continuum,,HAS_CONTINUUM_POSITION,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,continuum:central-curriculum-hqim-vs-teacher-created-materials,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].continuum
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:initiative:a-nation-at-risk-modern-standards-movement,,KEY_INITIATIVE,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,initiative:a-nation-at-risk-modern-standards-movement,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].keyInitiativeSlugs
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:source:src-005,,CITES_SOURCE,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,source:src-005,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].sourceIds
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:source:src-020,,CITES_SOURCE,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,source:src-020,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].sourceIds
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].evidenceStrength
dichotomy:central-curriculum-hqim-vs-teacher-created-materials:topic:education-reform,,HAS_TOPIC,dichotomy:central-curriculum-hqim-vs-teacher-created-materials,topic:education-reform,,true,content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].topic
dichotomy:choice-markets-vs-common-public-system:continuum,,HAS_CONTINUUM_POSITION,dichotomy:choice-markets-vs-common-public-system,continuum:choice-markets-vs-common-public-system,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].continuum
dichotomy:choice-markets-vs-common-public-system:initiative:private-school-vouchers-dc-and-louisiana-examples,,KEY_INITIATIVE,dichotomy:choice-markets-vs-common-public-system,initiative:private-school-vouchers-dc-and-louisiana-examples,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].keyInitiativeSlugs
dichotomy:choice-markets-vs-common-public-system:source:src-033,,CITES_SOURCE,dichotomy:choice-markets-vs-common-public-system,source:src-033,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].sourceIds
dichotomy:choice-markets-vs-common-public-system:source:src-034,,CITES_SOURCE,dichotomy:choice-markets-vs-common-public-system,source:src-034,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].sourceIds
dichotomy:choice-markets-vs-common-public-system:source:src-036,,CITES_SOURCE,dichotomy:choice-markets-vs-common-public-system,source:src-036,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].sourceIds
dichotomy:choice-markets-vs-common-public-system:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:choice-markets-vs-common-public-system,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].evidenceStrength
dichotomy:choice-markets-vs-common-public-system:topic:governance,,HAS_TOPIC,dichotomy:choice-markets-vs-common-public-system,topic:governance,,true,content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].topic
dichotomy:college-for-all-vs-cte-career-pathways:continuum,,HAS_CONTINUUM_POSITION,dichotomy:college-for-all-vs-cte-career-pathways,continuum:college-for-all-vs-cte-career-pathways,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].continuum
dichotomy:college-for-all-vs-cte-career-pathways:initiative:career-academies,,KEY_INITIATIVE,dichotomy:college-for-all-vs-cte-career-pathways,initiative:career-academies,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].keyInitiativeSlugs
dichotomy:college-for-all-vs-cte-career-pathways:source:src-051,,CITES_SOURCE,dichotomy:college-for-all-vs-cte-career-pathways,source:src-051,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].sourceIds
dichotomy:college-for-all-vs-cte-career-pathways:source:src-052,,CITES_SOURCE,dichotomy:college-for-all-vs-cte-career-pathways,source:src-052,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].sourceIds
dichotomy:college-for-all-vs-cte-career-pathways:source:src-053,,CITES_SOURCE,dichotomy:college-for-all-vs-cte-career-pathways,source:src-053,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].sourceIds
dichotomy:college-for-all-vs-cte-career-pathways:strength:promising-causal-quasi,,HAS_EVIDENCE_STRENGTH,dichotomy:college-for-all-vs-cte-career-pathways,evidence_strength:promising-causal-quasi,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].evidenceStrength
dichotomy:college-for-all-vs-cte-career-pathways:topic:pathways,,HAS_TOPIC,dichotomy:college-for-all-vs-cte-career-pathways,topic:pathways,,true,content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].topic
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:continuum,,HAS_CONTINUUM_POSITION,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,continuum:data-driven-continuous-improvement-vs-big-bang-reform,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].continuum
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:initiative:a-nation-at-risk-modern-standards-movement,,KEY_INITIATIVE,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,initiative:a-nation-at-risk-modern-standards-movement,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].keyInitiativeSlugs
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:source:src-006,,CITES_SOURCE,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,source:src-006,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].sourceIds
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:source:src-031,,CITES_SOURCE,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,source:src-031,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].sourceIds
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:source:src-032,,CITES_SOURCE,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,source:src-032,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].sourceIds
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].evidenceStrength
dichotomy:data-driven-continuous-improvement-vs-big-bang-reform:topic:improvement,,HAS_TOPIC,dichotomy:data-driven-continuous-improvement-vs-big-bang-reform,topic:improvement,,true,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].topic
dichotomy:direct-instruction-vs-inquiry-project-based-learning:continuum,,HAS_CONTINUUM_POSITION,dichotomy:direct-instruction-vs-inquiry-project-based-learning,continuum:direct-instruction-vs-inquiry-project-based-learning,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].continuum
dichotomy:direct-instruction-vs-inquiry-project-based-learning:initiative:a-nation-at-risk-modern-standards-movement,,KEY_INITIATIVE,dichotomy:direct-instruction-vs-inquiry-project-based-learning,initiative:a-nation-at-risk-modern-standards-movement,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].keyInitiativeSlugs
dichotomy:direct-instruction-vs-inquiry-project-based-learning:source:src-002,,CITES_SOURCE,dichotomy:direct-instruction-vs-inquiry-project-based-learning,source:src-002,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].sourceIds
dichotomy:direct-instruction-vs-inquiry-project-based-learning:source:src-018,,CITES_SOURCE,dichotomy:direct-instruction-vs-inquiry-project-based-learning,source:src-018,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].sourceIds
dichotomy:direct-instruction-vs-inquiry-project-based-learning:source:src-023,,CITES_SOURCE,dichotomy:direct-instruction-vs-inquiry-project-based-learning,source:src-023,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].sourceIds
dichotomy:direct-instruction-vs-inquiry-project-based-learning:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:direct-instruction-vs-inquiry-project-based-learning,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].evidenceStrength
dichotomy:direct-instruction-vs-inquiry-project-based-learning:topic:curriculum,,HAS_TOPIC,dichotomy:direct-instruction-vs-inquiry-project-based-learning,topic:curriculum,,true,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].topic
dichotomy:discipline-order-vs-restorative-relational-climate:continuum,,HAS_CONTINUUM_POSITION,dichotomy:discipline-order-vs-restorative-relational-climate,continuum:discipline-order-vs-restorative-relational-climate,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].continuum
dichotomy:discipline-order-vs-restorative-relational-climate:initiative:restorative-practices,,KEY_INITIATIVE,dichotomy:discipline-order-vs-restorative-relational-climate,initiative:restorative-practices,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].keyInitiativeSlugs
dichotomy:discipline-order-vs-restorative-relational-climate:source:src-038,,CITES_SOURCE,dichotomy:discipline-order-vs-restorative-relational-climate,source:src-038,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].sourceIds
dichotomy:discipline-order-vs-restorative-relational-climate:source:src-039,,CITES_SOURCE,dichotomy:discipline-order-vs-restorative-relational-climate,source:src-039,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].sourceIds
dichotomy:discipline-order-vs-restorative-relational-climate:source:src-040,,CITES_SOURCE,dichotomy:discipline-order-vs-restorative-relational-climate,source:src-040,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].sourceIds
dichotomy:discipline-order-vs-restorative-relational-climate:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:discipline-order-vs-restorative-relational-climate,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].evidenceStrength
dichotomy:discipline-order-vs-restorative-relational-climate:topic:school-climate,,HAS_TOPIC,dichotomy:discipline-order-vs-restorative-relational-climate,topic:school-climate,,true,content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].topic
dichotomy:early-academics-vs-play-based-pre-k:continuum,,HAS_CONTINUUM_POSITION,dichotomy:early-academics-vs-play-based-pre-k,continuum:early-academics-vs-play-based-pre-k,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].continuum
dichotomy:early-academics-vs-play-based-pre-k:initiative:head-start,,KEY_INITIATIVE,dichotomy:early-academics-vs-play-based-pre-k,initiative:head-start,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].keyInitiativeSlugs
dichotomy:early-academics-vs-play-based-pre-k:source:src-042,,CITES_SOURCE,dichotomy:early-academics-vs-play-based-pre-k,source:src-042,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].sourceIds
dichotomy:early-academics-vs-play-based-pre-k:source:src-043,,CITES_SOURCE,dichotomy:early-academics-vs-play-based-pre-k,source:src-043,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].sourceIds
dichotomy:early-academics-vs-play-based-pre-k:source:src-044,,CITES_SOURCE,dichotomy:early-academics-vs-play-based-pre-k,source:src-044,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].sourceIds
dichotomy:early-academics-vs-play-based-pre-k:source:src-045,,CITES_SOURCE,dichotomy:early-academics-vs-play-based-pre-k,source:src-045,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].sourceIds
dichotomy:early-academics-vs-play-based-pre-k:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,dichotomy:early-academics-vs-play-based-pre-k,evidence_strength:mixed-conditional,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].evidenceStrength
dichotomy:early-academics-vs-play-based-pre-k:topic:early-childhood,,HAS_TOPIC,dichotomy:early-academics-vs-play-based-pre-k,topic:early-childhood,,true,content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].topic
dichotomy:human-tutoring-vs-ai-tutoring:continuum,,HAS_CONTINUUM_POSITION,dichotomy:human-tutoring-vs-ai-tutoring,continuum:human-tutoring-vs-ai-tutoring,,true,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring'].continuum
dichotomy:human-tutoring-vs-ai-tutoring:initiative:high-dosage-tutoring,,KEY_INITIATIVE,dichotomy:human-tutoring-vs-ai-tutoring,initiative:high-dosage-tutoring,,true,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring'].keyInitiativeSlugs
dichotomy:human-tutoring-vs-ai-tutoring:source:src-021,,CITES_SOURCE,dichotomy:human-tutoring-vs-ai-tutoring,source:src-021,,true,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring'].sourceIds
dichotomy:human-tutoring-vs-ai-tutoring:source:src-050,,CITES_SOURCE,dichotomy:human-tutoring-vs-ai-tutoring,source:src-050,,true,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring'].sourceIds
